subNo index block mean periodicity testLevel pressedKey answer isCorrect rt s1 s2 s3 s4 s5 s6 t1 t2 t3 t4 t5 seqDuration startInterval trialDuration 
1.0000 5.0000 1.0000 -4.0000 1.0000 2.5100 2 -1.0000 1.0000 2.7260 6.0000 -6.0000 -14.0000 -2.0000 -10.0000 2.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9201 4.6759 
1.0000 41.0000 1.0000 0.0000 0.0000 5.0200 2 -1.0000 1.0000 1.6470 6.0000 -2.0000 -10.0000 2.0000 -6.0000 10.0000 0.3447 0.6474 0.5801 0.3022 0.6205 2.4949 1.9069 4.6542 
1.0000 49.0000 1.0000 2.0000 1.0000 7.5300 2 -1.0000 1.0000 2.1560 -4.0000 8.0000 12.0000 -8.0000 4.0000 0.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.7794 4.5259 
1.0000 26.0000 1.0000 -2.0000 0.0000 2.5100 8 1.0000 0.0000 2.3860 -12.0000 0.0000 4.0000 -4.0000 8.0000 -8.0000 0.3407 0.7911 0.6073 0.4404 0.3283 2.5078 1.8483 4.6003 
1.0000 25.0000 1.0000 -2.0000 0.0000 0.0000 2 -1.0000 0.0000 2.7670 0.0000 -8.0000 -12.0000 8.0000 -4.0000 4.0000 0.3033 0.3637 0.6613 0.7024 0.4641 2.4948 1.8312 4.5706 
1.0000 55.0000 1.0000 2.0000 0.0000 5.0200 2 -1.0000 1.0000 2.1630 12.0000 0.0000 -8.0000 4.0000 -4.0000 8.0000 0.6385 0.3836 0.5352 0.3271 0.6189 2.5034 1.8098 4.5627 
1.0000 9.0000 1.0000 -4.0000 0.0000 -5.0200 8 1.0000 1.0000 1.5850 2.0000 -6.0000 -14.0000 -2.0000 -10.0000 6.0000 0.5020 0.6565 0.3141 0.5946 0.4367 2.5039 1.7779 4.5464 
1.0000 60.0000 1.0000 4.0000 1.0000 0.0000 2 -1.0000 0.0000 2.5280 6.0000 -2.0000 -6.0000 14.0000 2.0000 10.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9452 4.6926 
1.0000 59.0000 1.0000 4.0000 1.0000 -2.5100 2 -1.0000 0.0000 2.2020 -6.0000 2.0000 10.0000 -2.0000 14.0000 6.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.7743 4.5259 
1.0000 16.0000 1.0000 -2.0000 1.0000 -5.0200 8 1.0000 1.0000 1.2620 -12.0000 -4.0000 4.0000 -8.0000 8.0000 0.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.8146 4.5592 
1.0000 7.0000 1.0000 -4.0000 1.0000 7.5300 2 -1.0000 1.0000 1.0980 -14.0000 -6.0000 6.0000 -10.0000 2.0000 -2.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.7648 4.5091 
1.0000 42.0000 1.0000 0.0000 0.0000 7.5300 2 -1.0000 1.0000 0.8230 -10.0000 2.0000 6.0000 -2.0000 10.0000 -6.0000 0.4581 0.3577 0.5596 0.4978 0.6285 2.5017 1.9134 4.6609 
1.0000 69.0000 1.0000 4.0000 0.0000 5.0200 2 -1.0000 1.0000 2.0540 -6.0000 2.0000 14.0000 -2.0000 10.0000 6.0000 0.7746 0.3059 0.3513 0.4108 0.6557 2.4983 1.9427 4.6909 
1.0000 21.0000 1.0000 -2.0000 1.0000 7.5300 2 -1.0000 1.0000 0.7830 -8.0000 0.0000 4.0000 -4.0000 8.0000 -12.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.8565 4.5925 
1.0000 12.0000 1.0000 -4.0000 0.0000 2.5100 2 -1.0000 1.0000 1.9840 6.0000 -6.0000 -14.0000 -2.0000 -10.0000 2.0000 0.3240 0.5143 0.7264 0.5110 0.4175 2.4933 1.9129 4.6692 
1.0000 3.0000 1.0000 -4.0000 1.0000 -2.5100 2 -1.0000 0.0000 3.2840 6.0000 -6.0000 -14.0000 -2.0000 -10.0000 2.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.8356 4.5926 
1.0000 19.0000 1.0000 -2.0000 1.0000 2.5100 2 -1.0000 1.0000 2.4450 -8.0000 0.0000 4.0000 -4.0000 8.0000 -12.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9936 4.7428 
1.0000 51.0000 1.0000 2.0000 0.0000 -5.0200 2 -1.0000 0.0000 2.4620 12.0000 4.0000 -4.0000 8.0000 -8.0000 0.0000 0.3404 0.7017 0.3098 0.7514 0.3902 2.4935 1.8517 4.6026 
1.0000 67.0000 1.0000 4.0000 0.0000 0.0000 8 1.0000 0.0000 1.1550 6.0000 -2.0000 -6.0000 14.0000 2.0000 10.0000 0.5292 0.4747 0.4312 0.3686 0.6872 2.4909 1.9527 4.7002 
1.0000 53.0000 1.0000 2.0000 0.0000 0.0000 8 1.0000 0.0000 1.5290 4.0000 -4.0000 -8.0000 12.0000 0.0000 8.0000 0.7848 0.5595 0.3463 0.4972 0.3099 2.4978 1.8355 4.5736 
1.0000 2.0000 1.0000 -4.0000 1.0000 -5.0200 8 1.0000 1.0000 2.0030 -14.0000 -2.0000 2.0000 -6.0000 6.0000 -10.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9345 4.6760 
1.0000 17.0000 1.0000 -2.0000 1.0000 -2.5100 8 1.0000 1.0000 2.6560 -12.0000 0.0000 8.0000 -4.0000 4.0000 -8.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.8337 4.5758 
1.0000 15.0000 1.0000 -2.0000 1.0000 -7.5300 8 1.0000 1.0000 1.3890 8.0000 -4.0000 -8.0000 0.0000 -12.0000 4.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.8823 4.6425 
1.0000 36.0000 1.0000 0.0000 0.0000 -7.5300 8 1.0000 1.0000 1.4540 -2.0000 6.0000 10.0000 -10.0000 2.0000 -6.0000 0.4255 0.5207 0.6275 0.5273 0.3943 2.4953 1.9054 4.6546 
1.0000 68.0000 1.0000 4.0000 0.0000 2.5100 2 -1.0000 1.0000 1.7780 -6.0000 2.0000 10.0000 -2.0000 14.0000 6.0000 0.5459 0.3376 0.5223 0.3454 0.7399 2.4911 1.9965 4.7337 
1.0000 44.0000 1.0000 2.0000 1.0000 -5.0200 8 1.0000 1.0000 1.5990 12.0000 0.0000 -8.0000 4.0000 -4.0000 8.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.7998 4.5592 
1.0000 65.0000 1.0000 4.0000 0.0000 -5.0200 8 1.0000 1.0000 2.1340 14.0000 2.0000 -2.0000 6.0000 -6.0000 10.0000 0.4125 0.3502 0.4860 0.5934 0.6545 2.4966 1.9225 4.6725 
1.0000 27.0000 1.0000 -2.0000 0.0000 5.0200 2 -1.0000 1.0000 1.9650 8.0000 0.0000 -12.0000 4.0000 -8.0000 -4.0000 0.5714 0.3200 0.5897 0.6269 0.3886 2.4966 1.8750 4.6225 
1.0000 32.0000 1.0000 0.0000 1.0000 0.0000 8 1.0000 0.0000 3.7820 -2.0000 6.0000 10.0000 -10.0000 2.0000 -6.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.8767 4.6260 
1.0000 28.0000 1.0000 -2.0000 0.0000 7.5300 2 -1.0000 1.0000 1.1280 -12.0000 0.0000 4.0000 -4.0000 8.0000 -8.0000 0.3829 0.4231 0.6130 0.3954 0.6806 2.4951 1.8999 4.6375 
1.0000 45.0000 1.0000 2.0000 1.0000 -2.5100 8 1.0000 1.0000 2.3370 8.0000 -4.0000 -8.0000 12.0000 0.0000 4.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9489 4.7091 
1.0000 18.0000 1.0000 -2.0000 1.0000 0.0000 2 -1.0000 0.0000 1.0820 -8.0000 0.0000 4.0000 -4.0000 8.0000 -12.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9685 4.7259 
1.0000 61.0000 1.0000 4.0000 1.0000 2.5100 2 -1.0000 1.0000 2.2280 10.0000 2.0000 -6.0000 6.0000 -2.0000 14.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9873 4.7426 
1.0000 34.0000 1.0000 0.0000 1.0000 5.0200 2 -1.0000 1.0000 1.2210 -10.0000 2.0000 10.0000 -2.0000 6.0000 -6.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.8708 4.6259 
1.0000 63.0000 1.0000 4.0000 1.0000 7.5300 2 -1.0000 1.0000 1.4200 10.0000 2.0000 -6.0000 6.0000 -2.0000 14.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9121 4.6592 
1.0000 47.0000 1.0000 2.0000 1.0000 2.5100 2 -1.0000 1.0000 0.8260 -4.0000 4.0000 12.0000 0.0000 8.0000 -8.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.7647 4.5092 
1.0000 54.0000 1.0000 2.0000 0.0000 2.5100 2 -1.0000 1.0000 1.2260 0.0000 8.0000 12.0000 -8.0000 4.0000 -4.0000 0.3390 0.5872 0.4301 0.7427 0.3950 2.4939 1.7639 4.5030 
1.0000 48.0000 1.0000 2.0000 1.0000 5.0200 2 -1.0000 1.0000 1.0750 -4.0000 4.0000 12.0000 0.0000 8.0000 -8.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9026 4.6426 
1.0000 1.0000 1.0000 -4.0000 1.0000 -7.5300 8 1.0000 1.0000 2.0670 -10.0000 -2.0000 6.0000 -6.0000 2.0000 -14.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.8394 4.5927 
1.0000 33.0000 1.0000 0.0000 1.0000 2.5100 2 -1.0000 1.0000 2.7640 6.0000 -6.0000 -10.0000 10.0000 -2.0000 2.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.8303 4.5924 
1.0000 37.0000 1.0000 0.0000 0.0000 -5.0200 8 1.0000 1.0000 1.6350 6.0000 -6.0000 -10.0000 10.0000 -2.0000 2.0000 0.3354 0.5613 0.3344 0.5892 0.6805 2.5009 1.9728 4.7268 
1.0000 52.0000 1.0000 2.0000 0.0000 -2.5100 8 1.0000 1.0000 2.3590 -4.0000 4.0000 8.0000 0.0000 12.0000 -8.0000 0.7627 0.4289 0.3625 0.3203 0.6282 2.5026 1.8131 4.5619 
1.0000 31.0000 1.0000 0.0000 1.0000 -2.5100 8 1.0000 1.0000 1.4930 10.0000 2.0000 -10.0000 6.0000 -6.0000 -2.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9791 4.7259 
1.0000 30.0000 1.0000 0.0000 1.0000 -5.0200 8 1.0000 1.0000 1.0480 6.0000 -6.0000 -10.0000 10.0000 -2.0000 2.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9558 4.7093 
1.0000 23.0000 1.0000 -2.0000 0.0000 -5.0200 8 1.0000 1.0000 1.0590 0.0000 -8.0000 -12.0000 8.0000 -4.0000 4.0000 0.3102 0.5655 0.4242 0.7908 0.4065 2.4971 1.8120 4.5565 
1.0000 6.0000 1.0000 -4.0000 1.0000 5.0200 2 -1.0000 1.0000 1.0120 -10.0000 -2.0000 6.0000 -6.0000 2.0000 -14.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9172 4.6592 
1.0000 57.0000 1.0000 4.0000 1.0000 -7.5300 8 1.0000 1.0000 1.1380 14.0000 6.0000 -2.0000 10.0000 -6.0000 2.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9501 4.6926 
1.0000 40.0000 1.0000 0.0000 0.0000 2.5100 2 -1.0000 1.0000 1.0640 -6.0000 2.0000 6.0000 -2.0000 10.0000 -10.0000 0.6001 0.4123 0.7123 0.4457 0.3336 2.5041 1.8161 4.5800 
1.0000 4.0000 1.0000 -4.0000 1.0000 0.0000 8 1.0000 0.0000 1.4140 6.0000 -6.0000 -14.0000 -2.0000 -10.0000 2.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9415 4.6926 
1.0000 11.0000 1.0000 -4.0000 0.0000 0.0000 8 1.0000 0.0000 1.6220 2.0000 -10.0000 -14.0000 6.0000 -6.0000 -2.0000 0.4997 0.3224 0.4910 0.7877 0.4008 2.5016 1.9154 4.6777 
1.0000 29.0000 1.0000 0.0000 1.0000 -7.5300 8 1.0000 1.0000 1.2110 -6.0000 2.0000 10.0000 -2.0000 6.0000 -10.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9566 4.7091 
1.0000 62.0000 1.0000 4.0000 1.0000 5.0200 2 -1.0000 1.0000 0.9940 10.0000 2.0000 -6.0000 6.0000 -2.0000 14.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9531 4.7093 
1.0000 64.0000 1.0000 4.0000 0.0000 -7.5300 8 1.0000 1.0000 1.5310 10.0000 -2.0000 -6.0000 14.0000 2.0000 6.0000 0.5284 0.4142 0.3337 0.5524 0.6756 2.5043 1.8793 4.6304 
1.0000 46.0000 1.0000 2.0000 1.0000 0.0000 2 -1.0000 0.0000 1.0470 -4.0000 8.0000 12.0000 -8.0000 4.0000 0.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9343 4.6759 
1.0000 70.0000 1.0000 4.0000 0.0000 7.5300 2 -1.0000 1.0000 0.9430 2.0000 10.0000 14.0000 -6.0000 6.0000 -2.0000 0.4805 0.4348 0.6202 0.3388 0.6276 2.5019 1.9014 4.6444 
1.0000 14.0000 1.0000 -4.0000 0.0000 7.5300 2 -1.0000 1.0000 0.8220 -10.0000 -2.0000 6.0000 -6.0000 2.0000 -14.0000 0.4076 0.3710 0.6195 0.7780 0.3198 2.4960 1.7950 4.5552 
1.0000 20.0000 1.0000 -2.0000 1.0000 5.0200 2 -1.0000 1.0000 1.1380 4.0000 -8.0000 -12.0000 8.0000 -4.0000 0.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.8166 4.5758 
1.0000 50.0000 1.0000 2.0000 0.0000 -7.5300 8 1.0000 1.0000 1.5180 -4.0000 4.0000 12.0000 0.0000 8.0000 -8.0000 0.3198 0.7503 0.5275 0.5807 0.3228 2.5012 1.8519 4.6105 
1.0000 66.0000 1.0000 4.0000 0.0000 -2.5100 2 -1.0000 0.0000 2.9810 14.0000 2.0000 -2.0000 6.0000 -6.0000 10.0000 0.3028 0.4628 0.6245 0.7620 0.3532 2.5053 1.8390 4.5977 
1.0000 58.0000 1.0000 4.0000 1.0000 -5.0200 8 1.0000 1.0000 1.8740 6.0000 -2.0000 -6.0000 14.0000 2.0000 10.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.8091 4.5592 
1.0000 35.0000 1.0000 0.0000 1.0000 7.5300 2 -1.0000 1.0000 1.6230 10.0000 -2.0000 -10.0000 2.0000 -6.0000 6.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9450 4.6924 
1.0000 13.0000 1.0000 -4.0000 0.0000 5.0200 8 1.0000 0.0000 2.3960 -14.0000 -2.0000 6.0000 -6.0000 2.0000 -10.0000 0.4902 0.6804 0.5317 0.3449 0.4494 2.4966 1.7768 4.5224 
1.0000 10.0000 1.0000 -4.0000 0.0000 -2.5100 8 1.0000 1.0000 1.8430 -2.0000 -10.0000 -14.0000 6.0000 -6.0000 2.0000 0.5908 0.5511 0.3116 0.7088 0.3460 2.5083 1.7510 4.5008 
1.0000 56.0000 1.0000 2.0000 0.0000 7.5300 2 -1.0000 1.0000 1.3490 -4.0000 8.0000 12.0000 -8.0000 4.0000 0.0000 0.5417 0.3486 0.7206 0.5364 0.3540 2.5013 1.8332 4.5771 
1.0000 24.0000 1.0000 -2.0000 0.0000 -2.5100 8 1.0000 1.0000 2.4230 -12.0000 -4.0000 4.0000 -8.0000 8.0000 0.0000 0.3995 0.4473 0.7712 0.3025 0.5762 2.4966 1.9579 4.7060 
1.0000 39.0000 1.0000 0.0000 0.0000 0.0000 2 -1.0000 0.0000 2.4050 -10.0000 2.0000 10.0000 -2.0000 6.0000 -6.0000 0.3556 0.7715 0.3517 0.6209 0.4071 2.5068 1.9246 4.6827 
1.0000 38.0000 1.0000 0.0000 0.0000 -2.5100 2 -1.0000 0.0000 2.5470 6.0000 -6.0000 -10.0000 10.0000 -2.0000 2.0000 0.6590 0.3084 0.6769 0.3433 0.5094 2.4969 1.9060 4.6561 
1.0000 22.0000 1.0000 -2.0000 0.0000 -7.5300 8 1.0000 1.0000 1.3770 0.0000 -8.0000 -12.0000 8.0000 -4.0000 4.0000 0.4509 0.7865 0.3528 0.4007 0.5065 2.4974 1.8244 4.5732 
1.0000 8.0000 1.0000 -4.0000 0.0000 -7.5300 8 1.0000 1.0000 1.1840 6.0000 -6.0000 -10.0000 -2.0000 -14.0000 2.0000 0.5925 0.5295 0.3530 0.3931 0.6381 2.5062 1.9699 4.7322 
1.0000 43.0000 1.0000 2.0000 1.0000 -7.5300 8 1.0000 1.0000 1.4770 8.0000 -4.0000 -8.0000 12.0000 0.0000 4.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.8765 4.6258 
1.0000 57.0000 2.0000 4.0000 1.0000 -7.5300 8 1.0000 1.0000 1.9670 -2.0000 6.0000 10.0000 2.0000 14.0000 -6.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9174 4.6759 
1.0000 8.0000 2.0000 -4.0000 0.0000 -7.5300 8 1.0000 1.0000 1.2530 2.0000 -10.0000 -14.0000 6.0000 -6.0000 -2.0000 0.3865 0.4645 0.5937 0.3645 0.6962 2.5055 1.8103 4.5646 
1.0000 11.0000 2.0000 -4.0000 0.0000 0.0000 2 -1.0000 0.0000 1.1350 -14.0000 -2.0000 6.0000 -6.0000 2.0000 -10.0000 0.3933 0.5075 0.6153 0.4235 0.5671 2.5066 1.8642 4.6158 
1.0000 68.0000 2.0000 4.0000 0.0000 2.5100 2 -1.0000 1.0000 0.9680 -6.0000 2.0000 10.0000 -2.0000 14.0000 6.0000 0.4465 0.3064 0.5895 0.4156 0.7395 2.4974 1.7603 4.5067 
1.0000 24.0000 2.0000 -2.0000 0.0000 -2.5100 2 -1.0000 0.0000 2.6880 8.0000 -4.0000 -12.0000 0.0000 -8.0000 4.0000 0.3091 0.6989 0.6532 0.3407 0.5076 2.5095 1.9671 4.7187 
1.0000 47.0000 2.0000 2.0000 1.0000 2.5100 2 -1.0000 1.0000 0.8510 4.0000 -4.0000 -8.0000 12.0000 0.0000 8.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.8190 4.5592 
1.0000 5.0000 2.0000 -4.0000 1.0000 2.5100 2 -1.0000 1.0000 0.8260 -6.0000 2.0000 6.0000 -14.0000 -2.0000 -10.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.8555 4.6092 
1.0000 60.0000 2.0000 4.0000 1.0000 0.0000 2 -1.0000 0.0000 0.7330 14.0000 6.0000 -2.0000 10.0000 -6.0000 2.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.8496 4.6092 
1.0000 46.0000 2.0000 2.0000 1.0000 0.0000 2 -1.0000 0.0000 0.8800 -8.0000 0.0000 8.0000 -4.0000 12.0000 4.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.8871 4.6427 
1.0000 43.0000 2.0000 2.0000 1.0000 -7.5300 8 1.0000 1.0000 2.5290 -8.0000 0.0000 8.0000 -4.0000 12.0000 4.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.8046 4.5592 
