subNo index mean periodicity testLevel pressedKey answer isCorrect rt reversal s1 s2 s3 s4 s5 s6 t1 t2 t3 t4 t5 seqDuration startInterval trialDuration 
14.0000 1.0000 2.0000 0.0000 11.0000 8 -1.0000 1.0000 0.9440 0.0000 0.0000 8.0000 12.0000 -8.0000 4.0000 -4.0000 0.4528 0.3935 0.5399 0.6751 0.4383 2.4997 1.8879 4.6423 
14.0000 2.0000 -4.0000 1.0000 -11.0000 2 1.0000 1.0000 0.9000 0.0000 -10.0000 -2.0000 2.0000 -6.0000 6.0000 -14.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.8725 4.6259 
14.0000 3.0000 0.0000 0.0000 -11.0000 2 1.0000 1.0000 0.6590 0.0000 6.0000 -2.0000 -6.0000 2.0000 -10.0000 10.0000 0.3584 0.6126 0.7010 0.3939 0.4290 2.4950 1.8637 4.6208 
14.0000 4.0000 -2.0000 1.0000 9.0000 8 -1.0000 1.0000 0.8130 0.0000 -12.0000 0.0000 4.0000 -4.0000 8.0000 -8.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.7697 4.5259 
14.0000 5.0000 2.0000 0.0000 -9.0000 2 1.0000 1.0000 0.7140 0.0000 -4.0000 4.0000 12.0000 0.0000 8.0000 -8.0000 0.6452 0.4031 0.3385 0.7248 0.3840 2.4956 1.7898 4.5382 
14.0000 6.0000 2.0000 0.0000 -7.0000 2 1.0000 1.0000 0.6810 0.0000 -8.0000 0.0000 12.0000 -4.0000 8.0000 4.0000 0.3189 0.5198 0.7012 0.5527 0.4004 2.4930 1.8818 4.6190 
14.0000 7.0000 -4.0000 0.0000 5.0000 2 1.0000 0.0000 1.4050 1.0000 6.0000 -6.0000 -14.0000 -2.0000 -10.0000 2.0000 0.4646 0.6725 0.5476 0.4842 0.3282 2.4972 1.9365 4.6897 
14.0000 8.0000 -2.0000 0.0000 -5.9900 2 1.0000 1.0000 0.9770 2.0000 -12.0000 -4.0000 4.0000 -8.0000 8.0000 0.0000 0.7310 0.3461 0.3851 0.5017 0.5403 2.5042 1.8546 4.5966 
14.0000 9.0000 -2.0000 1.0000 -5.6600 8 -1.0000 0.0000 2.0410 2.0000 -12.0000 -4.0000 8.0000 -8.0000 4.0000 0.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9806 4.7259 
14.0000 10.0000 4.0000 1.0000 5.6600 2 1.0000 0.0000 1.1030 2.0000 10.0000 2.0000 -2.0000 6.0000 -6.0000 14.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.8786 4.6426 
14.0000 11.0000 4.0000 0.0000 -5.6600 2 1.0000 1.0000 0.8560 2.0000 14.0000 6.0000 -2.0000 10.0000 -6.0000 2.0000 0.6171 0.5441 0.4749 0.5467 0.3129 2.4958 1.7893 4.5383 
14.0000 12.0000 4.0000 1.0000 5.3300 2 1.0000 0.0000 1.4040 2.0000 14.0000 6.0000 -6.0000 10.0000 -2.0000 2.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9579 4.7092 
14.0000 13.0000 2.0000 0.0000 -5.3300 2 1.0000 1.0000 1.0920 2.0000 -8.0000 0.0000 8.0000 -4.0000 12.0000 4.0000 0.5154 0.3665 0.4660 0.6138 0.5296 2.4913 1.9367 4.6840 
14.0000 14.0000 2.0000 0.0000 5.0000 2 1.0000 0.0000 1.8730 3.0000 8.0000 -4.0000 -8.0000 12.0000 0.0000 4.0000 0.7563 0.4709 0.3900 0.3228 0.5578 2.4978 1.9560 4.7071 
14.0000 15.0000 -2.0000 1.0000 -5.9900 2 1.0000 1.0000 0.9890 3.0000 8.0000 0.0000 -12.0000 4.0000 -8.0000 -4.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9163 4.6592 
