subNo index block mean periodicity testLevel pressedKey answer isCorrect rt s1 s2 s3 s4 s5 s6 t1 t2 t3 t4 t5 seqDuration startInterval trialDuration 
16.0000 6.0000 1.0000 -4.0000 1.0000 6.4500 8 -1.0000 1.0000 1.3540 6.0000 -6.0000 -10.0000 -2.0000 -14.0000 2.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9738 4.7260 
16.0000 48.0000 1.0000 2.0000 1.0000 6.4500 8 -1.0000 1.0000 1.8040 -8.0000 4.0000 8.0000 0.0000 12.0000 -4.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9266 4.6759 
16.0000 11.0000 1.0000 -4.0000 0.0000 0.0000 8 -1.0000 0.0000 0.8070 2.0000 -6.0000 -10.0000 -2.0000 -14.0000 6.0000 0.3504 0.5848 0.4828 0.3764 0.6972 2.4917 1.8282 4.5675 
16.0000 33.0000 1.0000 0.0000 1.0000 3.2250 8 -1.0000 1.0000 2.2120 -6.0000 6.0000 10.0000 -10.0000 2.0000 -2.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.8612 4.6093 
16.0000 47.0000 1.0000 2.0000 1.0000 3.2250 8 -1.0000 1.0000 1.3990 -4.0000 8.0000 12.0000 -8.0000 4.0000 0.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.8102 4.5592 
16.0000 25.0000 1.0000 -2.0000 0.0000 0.0000 8 -1.0000 0.0000 1.2230 -8.0000 0.0000 4.0000 -4.0000 8.0000 -12.0000 0.4317 0.5702 0.7076 0.4362 0.3496 2.4953 1.7630 4.5044 
16.0000 57.0000 1.0000 4.0000 1.0000 -9.6750 2 1.0000 1.0000 1.4090 -6.0000 2.0000 10.0000 -2.0000 14.0000 6.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.8097 4.5592 
16.0000 24.0000 1.0000 -2.0000 0.0000 -3.2250 2 1.0000 1.0000 2.0030 8.0000 0.0000 -12.0000 4.0000 -8.0000 -4.0000 0.4449 0.4801 0.7481 0.4932 0.3307 2.4969 1.8731 4.6228 
16.0000 28.0000 1.0000 -2.0000 0.0000 9.6750 8 -1.0000 1.0000 1.3490 4.0000 -8.0000 -12.0000 8.0000 -4.0000 0.0000 0.7406 0.4787 0.4323 0.4630 0.3790 2.4937 1.8344 4.5862 
16.0000 64.0000 1.0000 4.0000 0.0000 -9.6750 2 1.0000 1.0000 1.1580 -6.0000 6.0000 14.0000 2.0000 10.0000 -2.0000 0.5691 0.7228 0.3234 0.5529 0.3245 2.4927 1.9529 4.7020 
16.0000 67.0000 1.0000 4.0000 0.0000 0.0000 2 1.0000 0.0000 2.1420 10.0000 2.0000 -2.0000 6.0000 -6.0000 14.0000 0.3049 0.5448 0.6568 0.4446 0.5446 2.4957 1.7778 4.5217 
16.0000 30.0000 1.0000 0.0000 1.0000 -6.4500 2 1.0000 1.0000 1.6580 10.0000 -2.0000 -10.0000 2.0000 -6.0000 6.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.8821 4.6259 
16.0000 9.0000 1.0000 -4.0000 0.0000 -6.4500 2 1.0000 1.0000 0.8870 -14.0000 -6.0000 2.0000 -10.0000 6.0000 -2.0000 0.3375 0.4084 0.4609 0.7333 0.5552 2.4953 1.8000 4.5378 
16.0000 22.0000 1.0000 -2.0000 0.0000 -9.6750 2 1.0000 1.0000 2.3020 -12.0000 -4.0000 4.0000 -8.0000 8.0000 0.0000 0.4603 0.4949 0.7354 0.4802 0.3228 2.4936 1.9026 4.6361 
16.0000 65.0000 1.0000 4.0000 0.0000 -6.4500 2 1.0000 1.0000 1.1930 -2.0000 6.0000 10.0000 2.0000 14.0000 -6.0000 0.4325 0.5872 0.5274 0.3701 0.5747 2.4919 1.7523 4.4843 
16.0000 1.0000 1.0000 -4.0000 1.0000 -9.6750 2 1.0000 1.0000 1.0620 6.0000 -2.0000 -14.0000 2.0000 -10.0000 -6.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.7983 4.5593 
16.0000 40.0000 1.0000 0.0000 0.0000 3.2250 2 1.0000 0.0000 1.9280 -10.0000 2.0000 10.0000 -2.0000 6.0000 -6.0000 0.7324 0.3091 0.5376 0.3902 0.5298 2.4991 1.9959 4.7583 
16.0000 35.0000 1.0000 0.0000 1.0000 9.6750 8 -1.0000 1.0000 1.4240 -10.0000 -2.0000 10.0000 -6.0000 6.0000 2.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9811 4.7425 
