subNo index block mean periodicity testLevel pressedKey answer isCorrect rt s1 s2 s3 s4 s5 s6 t1 t2 t3 t4 t5 seqDuration startInterval trialDuration 
3.0000 3.0000 1.0000 -4.0000 1.0000 -3.3000 8 1.0000 1.0000 0.9520 -14.0000 -2.0000 2.0000 -6.0000 6.0000 -10.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.8565 4.6092 
3.0000 6.0000 1.0000 -4.0000 1.0000 6.6000 2 -1.0000 1.0000 0.8970 6.0000 -6.0000 -10.0000 -2.0000 -14.0000 2.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9298 4.6926 
3.0000 50.0000 1.0000 2.0000 0.0000 -9.9000 8 1.0000 1.0000 0.6840 8.0000 -4.0000 -8.0000 12.0000 0.0000 4.0000 0.5020 0.6565 0.3141 0.5946 0.4367 2.5039 1.7779 4.5296 
3.0000 54.0000 1.0000 2.0000 0.0000 3.3000 8 1.0000 0.0000 2.2680 4.0000 -4.0000 -8.0000 12.0000 0.0000 8.0000 0.5067 0.4360 0.4066 0.5332 0.6088 2.4913 1.8776 4.6172 
3.0000 34.0000 1.0000 0.0000 1.0000 6.6000 2 -1.0000 1.0000 2.4630 6.0000 -6.0000 -10.0000 10.0000 -2.0000 2.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.7865 4.5425 
3.0000 26.0000 1.0000 -2.0000 0.0000 3.3000 2 -1.0000 1.0000 1.5490 0.0000 -8.0000 -12.0000 8.0000 -4.0000 4.0000 0.3346 0.6256 0.5569 0.4655 0.5221 2.5046 1.8537 4.6138 
3.0000 37.0000 1.0000 0.0000 0.0000 -6.6000 8 1.0000 1.0000 0.9670 10.0000 -2.0000 -6.0000 2.0000 -10.0000 6.0000 0.3666 0.7530 0.3622 0.6770 0.3336 2.4924 1.7692 4.5016 
3.0000 38.0000 1.0000 0.0000 0.0000 -3.3000 8 1.0000 1.0000 0.8540 -10.0000 2.0000 6.0000 -2.0000 10.0000 -6.0000 0.3841 0.5618 0.4050 0.5237 0.6319 2.5064 1.9919 4.7491 
3.0000 58.0000 1.0000 4.0000 1.0000 -6.6000 8 1.0000 1.0000 0.5720 -6.0000 6.0000 14.0000 2.0000 10.0000 -2.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9148 4.6592 
3.0000 7.0000 1.0000 -4.0000 1.0000 9.9000 2 -1.0000 1.0000 0.9630 6.0000 -6.0000 -14.0000 -2.0000 -10.0000 2.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.8159 4.5757 
