subNo index block mean periodicity testLevel pressedKey answer isCorrect rt s1 s2 s3 s4 s5 s6 t1 t2 t3 t4 t5 seqDuration startInterval trialDuration 
9.0000 1.0000 1.0000 -0.6927 1.0000 2.1352 2 -1.0000 1.0000 0.8620 -10.6927 -2.6927 9.3073 -6.6927 5.3073 1.3073 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9211 4.6759 
9.0000 2.0000 1.0000 3.0610 0.0000 -3.2062 8 1.0000 1.0000 1.0080 9.0610 1.0610 -6.9390 5.0610 -2.9390 13.0610 0.4834 0.4379 0.3007 0.7465 0.5267 2.4953 1.8946 4.6378 
9.0000 3.0000 1.0000 3.7164 0.0000 -8.9641 8 1.0000 1.0000 1.4440 -6.2836 1.7164 13.7164 -2.2836 9.7164 5.7164 0.5521 0.4791 0.6842 0.3145 0.4617 2.4915 1.9499 4.6842 
9.0000 4.0000 1.0000 0.9334 1.0000 5.9312 2 -1.0000 1.0000 1.3510 10.9334 2.9334 -5.0666 6.9334 -9.0666 -1.0666 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9393 4.6759 
9.0000 5.0000 1.0000 2.7213 0.0000 -5.2830 8 1.0000 1.0000 0.9440 12.7213 0.7213 -3.2787 4.7213 -7.2787 8.7213 0.3551 0.7583 0.5163 0.3146 0.5552 2.4995 1.9909 4.7421 
9.0000 6.0000 1.0000 2.1546 0.0000 6.2171 2 -1.0000 1.0000 0.8270 12.1546 4.1546 -3.8454 8.1546 -7.8454 0.1546 0.4234 0.4847 0.5282 0.3854 0.6728 2.4945 1.7745 4.5203 
9.0000 7.0000 1.0000 2.7894 1.0000 -1.7463 2 -1.0000 0.0000 1.6270 12.7894 4.7894 -3.2106 8.7894 -7.2106 0.7894 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.7938 4.5425 
9.0000 8.0000 1.0000 -1.0877 1.0000 -0.9593 8 1.0000 1.0000 1.6350 -11.0877 -3.0877 8.9123 -7.0877 4.9123 0.9123 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.7765 4.5259 
9.0000 9.0000 1.0000 -1.7805 0.0000 -1.1082 8 1.0000 1.0000 0.9280 -11.7805 0.2195 8.2195 -3.7805 4.2195 -7.7805 0.3994 0.5262 0.6944 0.3010 0.5778 2.4988 1.8583 4.6081 
9.0000 10.0000 1.0000 0.9461 0.0000 -3.7678 8 1.0000 1.0000 0.7750 -9.0539 -1.0539 10.9461 -5.0539 6.9461 2.9461 0.5758 0.3219 0.5911 0.4392 0.5711 2.4991 1.8608 4.6082 
9.0000 11.0000 1.0000 3.3469 0.0000 -2.6398 8 1.0000 1.0000 1.9930 -2.6531 9.3469 13.3469 -6.6531 5.3469 1.3469 0.5512 0.4678 0.5943 0.4760 0.4034 2.4926 1.8155 4.5519 
